sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
BONÉS,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
BONÉS,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
BONÉS,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
BONÉS,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
BONÉS,HOLOGRAMME,8.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-57.0
BONÉS,HOLOGRAMME,8.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-4.0
BONÉS,HOLOGRAMME,8.0,VISEIRAS,HOLOGRAMME,2.0,both,6.0
BONÉS,HOLOGRAMME,9.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-56.0
BONÉS,HOLOGRAMME,9.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-3.0
BONÉS,HOLOGRAMME,9.0,VISEIRAS,HOLOGRAMME,2.0,both,7.0
BONÉS,HOLOGRAMME,9.0,COWBOY,HOLOGRAMME,8.0,both,1.0
BONÉS,HOLOGRAMME,10.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-55.0
BONÉS,HOLOGRAMME,10.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-2.0
BONÉS,HOLOGRAMME,10.0,VISEIRAS,HOLOGRAMME,2.0,both,8.0
BONÉS,HOLOGRAMME,10.0,COWBOY,HOLOGRAMME,8.0,both,2.0
COWBOY,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
COWBOY,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
COWBOY,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
COWBOY,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
COWBOY,HOLOGRAMME,5.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-60.0
COWBOY,HOLOGRAMME,5.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-7.0
COWBOY,HOLOGRAMME,5.0,VISEIRAS,HOLOGRAMME,2.0,both,3.0
COWBOY,HOLOGRAMME,5.0,COWBOY,HOLOGRAMME,8.0,both,-3.0
COWBOY,HOLOGRAMME,6.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-59.0
COWBOY,HOLOGRAMME,6.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-6.0
COWBOY,HOLOGRAMME,6.0,VISEIRAS,HOLOGRAMME,2.0,both,4.0
COWBOY,HOLOGRAMME,6.0,COWBOY,HOLOGRAMME,8.0,both,-2.0
COWBOY,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
COWBOY,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
COWBOY,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
COWBOY,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
COWBOY,HOLOGRAMME,8.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-57.0
COWBOY,HOLOGRAMME,8.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-4.0
COWBOY,HOLOGRAMME,8.0,VISEIRAS,HOLOGRAMME,2.0,both,6.0
CORTIÇA,MONTADO,2.0,,,,left_only,
CORTIÇA,MONTADO,3.0,,,,left_only,
CORTIÇA,MONTADO,4.0,,,,left_only,
CORTIÇA,MONTADO,5.0,,,,left_only,
CORTIÇA,MONTADO,6.0,,,,left_only,
CORTIÇA,MONTADO,7.0,,,,left_only,
CORTIÇA,MONTADO,8.0,,,,left_only,
,,,FEMININO,Palha – 12403,3.0,right_only,
,,,FEMININO,Palha – 12511,,right_only,
